ID,Title,Priority,Labels,Estimate,Description,Epic
1.1,"Initialize Next.js 15 Project with TypeScript",High,"setup, infrastructure",1,"Set up a new Next.js 15 project with TypeScript, App Router, and Turbopack enabled by default.",Epic 1
1.2,"Configure TypeScript for Strict Type Safety",High,"setup, typescript, type-safety",2,"Configure TypeScript with strict compiler options to ensure zero `any` types and full type safety across the codebase.",Epic 1
1.3,"Install and Configure Tailwind CSS V4",High,"setup, styling, tailwind",2,"Install and configure Tailwind CSS V4 with its new CSS-first configuration approach (no `tailwind.config.js`).",Epic 1
1.4,"Initialize ShadCN UI Configuration",High,"setup, ui, shadcn",2,"Initialize ShadCN UI using the CLI and configure the component registry for the project.",Epic 1
1.5,"Create Root AGENTS.md",High,"documentation, agents-md",2,"Create the root `AGENTS.md` file that provides AI coding agents with essential project context, build commands, and conventions.",Epic 1
1.6,"Create Reference Documentation Files",High,"documentation",3,"Create modular reference documentation files (each under 250 lines) that AGENTS.md can reference, covering Tailwind V4, ShadCN, TypeScript, and conventions.",Epic 1
1.7,"Set Up ESLint and Prettier",Medium,"setup, tooling, code-quality",2,"Configure ESLint with TypeScript rules and Prettier for consistent code formatting across the project.",Epic 1
2.1,"Define TypeScript Interfaces for Question Model",High,"feature, types, data-model",2,"Define comprehensive TypeScript interfaces for the question data model with full type safety.",Epic 2
2.2,"Implement LocalStorage Adapter with Type Safety",High,"feature, storage, typescript",3,"Create a type-safe LocalStorage adapter for persisting questions and study sessions with full error handling.",Epic 2
2.3,"Create Question Parser for Import Format",High,"feature, parser, data-processing",3,"Build a parser that converts the markdown-like question format into typed Question objects.",Epic 2
3.1,"Create Question Import Component",High,"feature, ui, component",5,"Build a component for importing questions via textarea with live preview and validation.",Epic 3
3.2,"Create Question List View Component",High,"feature, ui, component",3,"Build a component to display all imported questions with filtering and search capabilities.",Epic 3
3.3,"Create Question Card Component",Medium,"feature, ui, component",3,"Build a reusable question card component for displaying individual questions with their choices and metadata.",Epic 3
3.4,"Create Question Edit Dialog",Medium,"feature, ui, component",4,"Build a dialog component for editing existing questions with form validation.",Epic 3
4.1,"Implement Spaced Repetition Algorithm",High,"feature, algorithm, core-logic",5,"Implement a spaced repetition algorithm (simplified SM-2) to determine which questions to show based on user performance.",Epic 4
4.2,"Create Study Session Component",High,"feature, ui, component",5,"Build the main study session component where users answer questions with immediate feedback.",Epic 4
4.3,"Create Session Summary Component",Medium,"feature, ui, component",3,"Build a summary screen shown at the end of each study session with statistics and performance metrics.",Epic 4
4.4,"Implement Session State Management",High,"feature, state-management",3,"Implement React Context or Zustand store for managing study session state across components.",Epic 4
5.1,"Create Statistics Calculator",Medium,"feature, statistics",3,"Implement a statistics calculator that computes various metrics from study session history.",Epic 5
5.2,"Create Statistics Dashboard Component",Medium,"feature, ui, component",4,"Build a dashboard component displaying user statistics and progress over time.",Epic 5
6.1,"Create Root Layout with Navigation",High,"feature, ui, layout",3,"Create the root layout component with navigation menu and responsive header.",Epic 6
6.2,"Implement Dark Mode Support",Medium,"feature, ui, theme",2,"Implement dark mode support using Tailwind V4's dark mode classes and next-themes.",Epic 6
6.3,"Create Home/Landing Page",Medium,"feature, ui, page",3,"Create the home page with quick actions and overview of study progress.",Epic 6
7.1,"Run droid-exec to Fix Lint Errors",High,"quality, lint, automation",3,"Use Factory's droid-exec to automatically fix any remaining lint errors and ensure zero lint warnings.",Epic 7
7.2,"Audit TypeScript for Zero `any` Types",High,"quality, typescript, type-safety",3,"Audit the entire codebase to ensure zero `any` types and full type safety everywhere.",Epic 7
7.3,"Audit and Update All Dependencies",High,"quality, dependencies, maintenance",2,"Audit all npm dependencies to ensure latest versions with zero deprecated packages.",Epic 7
8.1,"Add Component AGENTS.md Files",Medium,"documentation, agents-md",3,"Create component-specific AGENTS.md files in relevant directories (components/, lib/, app/) that are under 150 lines and reference root docs.",Epic 8
8.2,"Create README.md",Medium,"documentation",2,"Create a comprehensive README.md for human developers (separate from AGENTS.md).",Epic 8
8.3,"Build Production Bundle and Verify",High,"deployment, build",2,"Build the production bundle and verify it works correctly with no errors or warnings.",Epic 8
9.1,"Add Question Categories Management",Low,"enhancement, feature",3,"Allow users to organize questions into custom categories for better organization.",Epic 9
9.2,"Add Export Functionality",Low,"enhancement, feature",2,"Allow users to export their questions and study history to JSON format.",Epic 9
9.3,"Add Keyboard Shortcuts Help Dialog",Low,"enhancement, accessibility",2,"Create a help dialog showing all available keyboard shortcuts for power users.",Epic 9